"V","O","C"
-99,19,0
-35,19,0
207,19,0
-130,19,0
-130,19,0
250,19,0
-34,19,3
-202,19,3
-310,19,3
-34,19,3
-11,19,3
186,19,3
256,19,4.5
-20,19,4.5
227,19,4.5
331,19,4.5
56,19,4.5
232,19,4.5
220,19,6
15,19,6
272,19,6
235,19,6
505,19,6
65,19,6
124,19,9
76,19,9
536,19,9
346,19,9
313,19,9
5,19,9
118,17,0
-193,17,0
150,17,0
251,17,0
150,17,0
-68,17,0
105,17,3
155,17,3
158,17,3
85,17,3
314,17,3
-263,17,3
-3,17,4.5
-41,17,4.5
140,17,4.5
54,17,4.5
427,17,4.5
70,17,4.5
171,17,6
347,17,6
118,17,6
5,17,6
152,17,6
387,17,6
213,17,9
244,17,9
272,17,9
599,17,9
-81,17,9
78,17,9
-119,15,0
0,15,0
0,15,0
-112,15,0
-102,15,0
151,15,0
414,15,3
-42,15,3
114,15,3
58,15,3
200,15,3
419,15,3
215,15,4.5
44,15,4.5
101,15,4.5
-45,15,4.5
315,15,4.5
-1,15,4.5
195,15,6
-35,15,6
187,15,6
344,15,6
446,15,6
265,15,6
485,15,9
242,15,9
477,15,9
-15,15,9
492,15,9
113,15,9
41,13,0
144,13,0
-168,13,0
95,13,0
-11,13,0
-1,13,0
49,13,3
99,13,3
118,13,3
46,13,3
117,13,3
33,13,3
-173,13,4.5
-15,13,4.5
244,13,4.5
120,13,4.5
430,13,4.5
377,13,4.5
572,13,6
60,13,6
176,13,6
102,13,6
64,13,6
468,13,6
381,13,9
674,13,9
544,13,9
33,13,9
535,13,9
535,13,9
